Account,Token Account,Quantity,Percentage
HrZAZJv3bWDnh2YhFgHP2fpspkCD6ztgp5F4XDVdBMGq,BcDRkRa32Zy48zgrW5guua3EPFV6NrBAdjgUY231ni4Q,2263376.714406515,0.25
3MeqPU3MCRrHu8sVkkWJNupmVoUXEwY1ysZwPBYKrhrd,FhBSj4BKgzRwEUeQ52GsyAWehPosGst8QR8cQuSujpNt,2228632.076750487,0.24
DL5ag5f1ZoaRbMVfkgv2wzDDBPgPv7QcU4u7fmg4txfM,2EsNgCKZd45rR8TeJphxTvXx8PHxLr8nKfn1ELVUCozs,2222998.743971811,0.24
BePxmqY235J7s6wWvYnpju7Gs61J3BtEkjPbj9QnwH5E,HGtvX5Az1RKXEKqQU58GwURWdhFzb8mQ1DvTYqP8sbV4,2220782.313528627,0.24
FeyNFa4QxNNkXXMS86VJxyadMArBAtB7Ct2h96KXLCfX,DPJotYSLx4o6QyAz6j6GJfk2x5zij9UB1zSPLxR5mUZr,2140550.820894257,0.23
A2XFtjKy1GBdeGhNN3SktPsrnnmFimnoMQo5yBR6asKP,hkHKQ7PzYsWrtgepaWqSzitam1vGaxZrmdr5bkFZkS9,2127568.040012399,0.23
AMRB46zqtALkm6BuoRNunUyXcb5LHdLoUePP2ZqMV4Wb,Db7z886YBNonrjLfGnwhywbFZKAqAJC1wUbNwh5MUa2i,2069505.880837885,0.22
HuCsnnQ9b2tQ9DXgyLa6vjwQwwN1sjpNGvQw6eFg4P7s,2SA18V3hZdZLKEz7yPwsYA2WAoD8oZ5rejBoqyzvYjgD,1917134.862999302,0.21
5bacVT6rmL2YRruXkMWeewrkdqkdaQKEYttGe2MxaE8W,8RN6eesNo1nDKk1t1Wo418jfNzWmmYZGcCYHk6M7rPih,1840759.132511017,0.20
G4T9x8sG87qbZKzK9V7FPym6vokC3uLNgHrN5wJeoQsu,C8TtdjePe57uhMie9HRLVgiwXiPSuqbbWBeqExxCiTYd,1754193.810829668,0.19
8RGefHGcAegeU8PCVkySnbkhKDJWwqLr4DYkbDGyXyUX,Gd1yN3PupdjFcwv3pRu2MaKxRCvdKSznNTRdtdGeAWsM,1686724.859581883,0.18
7aKeVFSpmat3naqe785R9fpocDTmM3E5Gig5c2fUNEs4,HPrDb2ziP4LzuQRFRsb4Ajjm9fwNiRynqPUD9LPRvGUN,1683711.622172183,0.18
Ev59NKWGFMFeuF6pm9k9rzB4t5ggmPGd6rJkALDjSZU8,6EDhXXcwUjKJ47gdBvLzmEThsBdzvRKcP1dY1Ax1R3U1,1587401.999000864,0.17
FMHub7rBEG2CwVoK1qAJyzwQkCvD4tthxUm3nX39aXUL,5yPDKmooJ9p3RckbMrCXx3o8NEjqVHbqN6rHhpCAtCZU,1550325.335808682,0.17
EeKDbRMqvc2rtegwi3GFC4Y4733JuD8DToiciZEaLHf4,XpciLTT74HHhhTFZzGdENxLXzLywekRZZXs7QGGVghe,1545080.878177529,0.17
3fu6zjZNhooZTU5fK3JKcfLnMD1Bsx1GNVSzX9ibhzpP,2hF9sZcEY2yKjaZx9DYtvU2gQwAqkLZmfvpG2e63ynrB,1499566.606427953,0.16
8yUSm2jYL3xhiHJyzYpGPErs8jiLvqe4pvLRhXntZ6ra,b1817pKvJaoZFaN3CLPKJJpeBzKLMv7LYKTMSb1Mh6n,1422812.891261625,0.15
